//Cycle : #inst 0  pc opcode reg regnum value
       966 :   #399 0 00000062 00020283 
       974 :   #400 0 00000066 00518023 
       974 :   #401 0 0000006a 00000205 r4=0001005f
       975 :   #402 0 0000006c fe029be3 
       975 :   #403 0 00000062 00020283 
       983 :   #404 0 00000066 00518023 
       983 :   #405 0 0000006a 00000205 r4=00010060
       984 :   #406 0 0000006c fe029be3 
       984 :   #407 0 00000062 00020283 
       992 :   #408 0 00000066 00518023 
       992 :   #409 0 0000006a 00000205 r4=00010061
       993 :   #410 0 0000006c fe029be3 
       993 :   #411 0 00000062 00020283 
      1001 :   #412 0 00000066 00518023 
      1001 :   #413 0 0000006a 00000205 r4=00010062
      1002 :   #414 0 0000006c fe029be3 
      1002 :   #415 0 00000062 00020283 
      1010 :   #416 0 00000066 00518023 
      1010 :   #417 0 0000006a 00000205 r4=00010063
      1011 :   #418 0 0000006c fe029be3 
      1011 :   #419 0 00000062 00020283 
      1019 :   #420 0 00000066 00518023 
      1019 :   #421 0 0000006a 00000205 r4=00010064
      1020 :   #422 0 0000006c fe029be3 
      1020 :   #423 0 00000062 00020283 
      1028 :   #424 0 00000066 00518023 
      1028 :   #425 0 0000006a 00000205 r4=00010065
      1029 :   #426 0 0000006c fe029be3 
      1029 :   #427 0 00000062 00020283 
      1037 :   #428 0 00000066 00518023 
      1037 :   #429 0 0000006a 00000205 r4=00010066
      1038 :   #430 0 0000006c fe029be3 
      1038 :   #431 0 00000062 00020283 
      1046 :   #432 0 00000066 00518023 
      1046 :   #433 0 0000006a 00000205 r4=00010067
      1047 :   #434 0 0000006c fe029be3 
      1047 :   #435 0 00000062 00020283 
      1055 :   #436 0 00000066 00518023 
      1055 :   #437 0 0000006a 00000205 r4=00010068
      1056 :   #438 0 0000006c fe029be3 
      1056 :   #439 0 00000062 00020283 
      1064 :   #440 0 00000066 00518023 
      1064 :   #441 0 0000006a 00000205 r4=00010069
      1065 :   #442 0 0000006c fe029be3 
      1065 :   #443 0 00000062 00020283 
      1073 :   #444 0 00000066 00518023 
      1073 :   #445 0 0000006a 00000205 r4=0001006a
      1074 :   #446 0 0000006c fe029be3 
      1074 :   #447 0 00000062 00020283 
      1082 :   #448 0 00000066 00518023 
      1082 :   #449 0 0000006a 00000205 r4=0001006b
      1083 :   #450 0 0000006c fe029be3 
      1083 :   #451 0 00000062 00020283 
      1091 :   #452 0 00000066 00518023 
      1091 :   #453 0 0000006a 00000205 r4=0001006c
      1092 :   #454 0 0000006c fe029be3 
      1092 :   #455 0 00000062 00020283 
      1100 :   #456 0 00000066 00518023 
      1100 :   #457 0 0000006a 00000205 r4=0001006d
      1101 :   #458 0 0000006c fe029be3 
      1101 :   #459 0 00000062 00020283 
      1109 :   #460 0 00000066 00518023 
      1109 :   #461 0 0000006a 00000205 r4=0001006e
      1110 :   #462 0 0000006c fe029be3 
      1110 :   #463 0 00000062 00020283 
      1118 :   #464 0 00000066 00518023 
      1118 :   #465 0 0000006a 00000205 r4=0001006f
      1119 :   #466 0 0000006c fe029be3 
      1119 :   #467 0 00000062 00020283 
      1127 :   #468 0 00000066 00518023 
      1127 :   #469 0 0000006a 00000205 r4=00010070
      1128 :   #470 0 0000006c fe029be3 
      1128 :   #471 0 00000062 00020283 
      1136 :   #472 0 00000066 00518023 
      1136 :   #473 0 0000006a 00000205 r4=00010071
      1137 :   #474 0 0000006c fe029be3 
      1137 :   #475 0 00000062 00020283 
      1145 :   #476 0 00000066 00518023 
      1145 :   #477 0 0000006a 00000205 r4=00010072
      1146 :   #478 0 0000006c fe029be3 
      1146 :   #479 0 00000062 00020283 
      1154 :   #480 0 00000066 00518023 
      1154 :   #481 0 0000006a 00000205 r4=00010073
      1155 :   #482 0 0000006c fe029be3 
